PID,OverallQuality,OverallCondition
0535476360,6,8
0535477130,5,5
0535477180,5,5
0535478040,5,5
0902100010,5,7
0902105110,5,7
0902106070,6,6
0902106120,5,5
0902110010,5,6
0902125120,4,7
0902128160,5,8
0902201090,5,8
0902201130,3,7
0902202070,4,7
0902205020,4,6
0902205130,4,4
0902206270,4,8
0902207010,5,9
0902207150,5,6
0902300020,8,9
0902300040,6,6
0902301030,5,8
0902301130,5,7
0902302150,5,5
0902303100,6,8
0902304040,6,4
0902305010,5,7
0902330090,7,8
0902332030,6,6
0902401030,6,7
0902404010,5,6
0902408080,7,8
0902427040,5,5
0903201090,5,7
0903204030,5,6
0903205085,5,5
0903206170,6,7
0903225040,5,7
0903227140,6,6
0903228080,6,6
0903231050,5,7
0903231090,6,5
0903231180,5,8
0903232100,5,7
0903233030,5,6
0903233050,5,8
0903233140,7,8
0903233180,6,6
0903234160,6,5
0903236130,6,8
0903400040,6,6
0903401070,6,7
0903425270,5,5
0903425280,6,7
0903426010,7,6
0903427040,6,7
0903430040,5,4
0903430050,5,3
0903450060,7,4
0903451110,7,7
0903454010,6,7
0903454090,6,6
0903456110,7,9
0903457040,6,5
0903457130,4,6
0903458020,5,7
0903458060,4,7
0903475040,5,6
0903476100,5,7
0904100100,7,8
0904301110,5,6
0904302010,5,6
0905100060,5,5
0905100080,5,5
0905101070,4,3
0905101200,4,5
0905102010,5,8
0905103110,5,4
0905104030,6,5
0905104090,5,5
0905104170,5,5
0905104240,5,6
0905105040,5,5
0905105170,5,5
0905105260,5,7
0905106150,5,5
0905107140,6,5
0905200010,5,7
0905201080,5,5
0905226050,5,7
0905226080,7,8
0905226130,6,5
0905226170,5,6
0905301050,7,5
0905352010,6,5
0905352180,6,5
0905376090,5,7
0905377020,5,5
0905377050,4,5
0905426010,6,7
0905451390,6,6
0905475270,5,5
0905476170,4,7
0905476225,5,6
0905478140,5,6
0905478220,5,6
0906200230,6,5
0906201022,7,5
0906201023,7,5
0906201200,7,5
0906203140,7,5
0906204140,7,6
0906223040,7,5
0906340080,7,5
0906378120,8,5
0906378150,8,5
0906378170,7,5
0906380010,7,5
0906380040,8,5
0906380070,8,5
0906380120,7,5
0906380140,7,5
0906380160,7,5
0906380200,7,5
0906382020,7,5
0906382060,8,5
0906392080,7,5
0906394020,7,5
0906394050,6,5
0906402070,7,5
0906403060,7,5
0906426060,6,7
0906426195,6,5
0906475110,6,8
0907125040,5,5
0907125120,5,5
0907130060,6,5
0907131060,6,6
0907131120,6,5
0907135050,5,7
0907135080,5,5
0907135180,4,5
0907180040,6,5
0907187040,7,5
0907187060,7,5
0907192020,7,5
0907192040,7,5
0907192120,7,5
0907192150,7,5
0907200130,5,5
0907200190,5,5
0907200250,5,7
0907200270,5,5
0907202100,5,4
0907202220,5,6
0907203060,5,5
0907203110,5,6
0907227060,5,5
0907227100,4,8
0907250050,8,5
0907252020,8,5
0907252190,7,5
0907260040,7,5
0907260050,7,5
0907262020,7,5
0907270040,8,5
0907275080,8,5
0907275150,8,5
0907280090,7,5
0907280100,9,5
0907285040,8,5
0907290140,6,5
0907295040,8,5
0907401060,7,5
0907405130,7,5
0907410020,7,5
0907410050,7,5
0907414060,7,5
0907414070,7,5
0907420050,6,5
0907420060,7,5
0907420110,5,5
0908102100,5,7
0908102160,5,5
0908103090,4,6
0908127040,4,5
0908127060,5,6
0908127070,6,6
0908152060,6,6
0908152070,6,7
0908152260,5,5
0908152280,5,5
0908152290,5,5
0908204090,5,7
0908225240,4,5
0908226180,3,6
0908228010,6,8
0908250100,4,5
0908275090,4,7
0908275200,4,5
0908275240,4,5
0908276230,4,6
0909250150,6,7
0909250160,5,5
0909251030,5,5
0909251040,6,7
0909252010,5,7
0909252150,7,8
0909252170,6,7
0909254090,7,8
0909254100,6,8
0909254130,7,5
0909254140,5,6
0909254150,5,6
0909275110,7,7
0909275310,6,6
0909276210,4,6
0909279080,6,7
0909281020,5,5
0909281130,8,8
0909282020,6,8
0909425140,6,7
0909425270,7,6
0909428180,6,4
0909428340,6,6
0909451130,6,6
0909452102,4,5
0909455060,8,5
0909475050,7,5
0909475230,8,5
0910200040,5,7
0910200110,6,7
0910201050,5,7
0910201110,4,5
0910202030,5,7
0910203290,6,5
0910204090,5,2
0910205130,5,5
0911103060,5,6
0911128010,4,6
0911128020,5,9
0911370450,8,5
0911370460,8,5
0914452090,6,6
0914452120,6,6
0914452190,6,5
0914460020,5,5
0914460110,7,5
0914476330,7,5
0914478020,7,6
0914478100,6,6
0916226090,7,6
0916253320,7,5
0916326040,5,6
0916326090,6,8
0916384050,7,5
0916384080,8,5
0916384150,8,5
0916386170,8,5
0916403040,7,7
0916403290,7,5
0916455010,6,5
0916455050,8,5
0916455110,7,5
0916455150,8,5
0916460020,6,5
0916475020,8,5
0921126010,8,5
0921205070,8,5
0923202134,5,5
0923204050,4,5
0923225040,5,7
0923225050,5,5
0923226300,4,4
0923228200,4,5
0923228220,4,6
0923228250,4,5
0923228290,4,6
0923228390,4,3
0923229010,6,5
0923229040,5,5
0923229140,5,6
0923230010,5,7
0923230120,5,7
0923230180,5,7
0923251160,4,3
0923252080,4,6
0923275010,5,6
0923275200,5,7
0923276180,5,7
0923400150,5,5
0923425030,5,6
0526302030,6,5
0526302040,6,6
0526302120,5,5
0526303060,6,6
0526354020,7,6
0527105060,6,5
0527106010,7,5
0527107020,6,5
0527107030,6,5
0527107120,6,5
0527107240,6,5
0527108010,7,5
0527108020,7,5
0527108030,8,5
0527108040,8,5
0527108060,7,5
0527108090,7,5
0527146135,8,5
0527158020,6,6
0527163020,6,5
0527166030,7,5
0527182020,8,5
0527190050,7,7
0527190220,8,5
0527210050,9,5
0527250040,5,5
0527252090,9,5
0527254070,8,5
0527301010,7,7
0527302080,7,5
0527325160,7,7
0527327080,6,5
0527328010,6,6
0527354040,7,5
0527355060,7,5
0527355280,6,6
0527356060,6,6
0527358090,7,5
0527365010,7,5
0527376090,5,6
0527376110,7,5
0527377030,6,6
0527378010,6,6
0527402210,5,5
0527402380,4,5
0527403120,4,4
0527404180,4,4
0527427210,6,5
0527450010,6,5
0527450080,5,6
0527450210,6,5
0527450460,6,7
0527451200,6,5
0527451380,6,7
0527451450,6,5
0527451460,6,5
0527451520,6,5
0527452070,6,5
0527452290,5,7
0527452310,5,5
0527453070,7,7
0527455100,6,5
0528102010,9,5
0528102080,9,5
0528106120,8,5
0528112010,7,5
0528116030,9,5
0528118110,9,5
0528120110,8,5
0528142060,8,5
0528142070,8,5
0528142110,9,5
0528144030,8,5
0528164040,9,5
0528172020,8,5
0528172150,8,5
0528174080,7,5
0528181030,7,5
0528181040,7,5
0528186100,9,5
0528188040,7,5
0528218030,6,5
0528218060,6,5
0528218080,7,5
0528218130,7,5
0528218140,7,5
0528221010,6,5
0528221100,6,5
0528222010,8,5
0528222020,7,5
0528228280,7,5
0528228325,7,5
0528228340,8,5
0528228360,7,5
0528228415,7,5
0528228430,7,5
0528228545,7,5
0528228550,7,5
0528228565,7,5
0528228575,8,5
0528228580,7,5
0528231050,5,5
0528235050,6,5
0528235130,8,5
0528235190,7,5
0528240080,8,5
0528250060,7,5
0528275060,6,5
0528275080,6,5
0528280100,7,5
0528290140,6,5
0528294070,7,5
0528315030,8,5
0528315070,8,5
0528315080,8,5
0528327010,9,5
0528344060,8,5
0528348010,8,5
0528358030,8,5
0528363070,8,5
0528365090,8,5
0528366040,8,5
0528429060,8,5
0528429120,8,5
0528429130,8,5
0528439030,7,5
0528445010,8,5
0528456200,8,5
0528477030,8,5
0528480070,8,5
0528480100,7,5
0528480110,6,5
0528480150,7,5
0528488110,6,5
0528488120,7,5
0528488130,7,5
0531363080,6,5
0531367010,7,5
0531375060,6,5
0531375070,6,5
0531375100,6,5
0531376030,7,5
0531376050,7,5
0531379030,6,5
0531450040,6,5
0531451290,6,5
0531452080,6,5
0531452100,6,5
0531452210,6,5
0531478010,4,4
0531479030,5,5
0532351060,5,4
0532353030,5,6
0532353180,6,7
0532376080,5,5
0532376180,5,6
0532376250,5,6
0532378050,5,6
0532378070,5,6
0532378130,5,6
0532378160,5,7
0532378220,5,6
0532476050,7,4
0533110130,8,5
0533125120,8,5
0533127080,8,7
0533128030,7,5
0533128090,8,5
0533206040,7,5
0533208050,8,5
0533212100,7,5
0533212110,7,5
0533212120,7,5
0533212130,7,5
0533221080,6,5
0533223010,7,5
0533223080,7,5
0533223110,7,5
0533241010,7,5
0533242030,8,5
0533250130,8,5
0533252020,6,6
0533253030,8,5
0533253050,8,5
0533253090,8,5
0533253160,8,5
0534125210,5,6
0534127190,7,7
0534127270,6,6
0534128210,6,7
0534175100,7,6
0534176250,7,5
0534201130,5,5
0534201230,5,5
0534201250,5,5
0534201260,6,7
0534201280,5,5
0534201300,5,6
0534202020,5,5
0534202180,5,7
0534226060,5,8
0534250300,6,5
0534275010,5,6
0534276010,5,5
0534400120,6,7
0534403280,6,6
0534403400,6,6
0534403440,5,6
0534427090,6,5
0534429130,5,7
0534430050,6,8
0534430110,5,6
0534431030,5,7
0534451050,4,7
0534451120,4,7
0534451130,4,5
0534453150,5,8
0534455080,5,6
0534475160,5,6
0534476100,5,5
0534477030,5,3
0534479130,6,7
0534479240,5,6
0534479300,5,6
0535103070,6,5
0535105160,5,3
0535125060,7,6
0535150240,5,5
0535150300,8,4
0535151080,6,7
0535152070,5,6
0535152280,5,5
0535176050,6,5
0535177100,6,6
0535179050,5,5
0535180020,6,6
0535180070,5,6
0535301150,6,8
0535303050,6,5
0535304020,5,6
0535305120,6,6
0535325130,5,7
0535325340,5,5
0535325350,5,6
0535325450,5,6
0535327210,5,5
0535354130,6,6
0535355100,6,6
0535375040,3,8
0535376090,5,7
0535376100,5,6
0535377070,3,3
0535377100,4,8
0535379100,5,6
0535380010,6,8
0535380130,4,4
0535381060,3,4
0535382020,5,4
0535382130,5,8
0535401140,6,5
0535402070,5,5
0535402100,6,5
0535402220,6,7
0535402230,6,5
0535403040,5,5
0535403150,6,6
0535403200,6,6
0535404080,5,7
0535425040,6,6
0535426195,5,6
0535450100,4,6
0535450180,4,4
0535453160,5,5
0535456020,5,6
0535457070,5,4
0535477060,6,5
0535478010,5,5
0535478070,7,6
0535478090,5,6
0535478110,5,5
0902100110,5,8
0902100130,4,4
0902101050,5,6
0902103090,4,6
0902104020,6,8
0902106040,7,7
0902108060,7,8
0902109010,6,8
0902110120,4,6
0902110130,6,5
0902111010,5,7
0902125020,5,6
0902128020,4,5
0902128100,6,8
0902134060,3,5
0902204060,5,7
0902204120,5,7
0902206020,3,5
0902206090,6,7
0902207080,3,8
0902207110,3,4
0902325050,7,7
0902325100,7,6
0902325160,5,4
0902328100,7,6
0902329070,6,7
0902329090,7,7
0902400090,6,5
0902400110,10,9
0902406030,5,5
0903200050,4,5
0903202120,6,5
0903206160,6,7
0903225090,6,7
0903229040,5,7
0903231070,6,6
0903231190,5,4
0903231220,3,5
0903231240,5,7
0903233100,5,6
0903233220,5,7
0903234030,6,6
0903235020,5,7
0903236200,5,6
0903400030,5,5
0903425190,6,5
0903425340,4,5
0903430090,6,8
0903430130,4,4
0903454020,5,4
0903454080,6,6
0903455090,5,6
0903456060,3,4
0903456090,6,8
0903458010,6,6
0904100030,5,5
0904101040,5,4
0904302020,5,3
0904302030,7,5
0905100030,4,5
0905101450,6,8
0905103130,5,6
0905103140,5,6
0905103180,6,7
0905105010,5,6
0905106210,5,5
0905107070,6,7
0905107220,5,5
0905107240,5,6
0905107300,6,6
0905200280,5,5
0905200290,5,4
0905200340,5,4
0905200380,5,5
0905200490,4,9
0905201090,5,6
0905202190,7,6
0905202210,5,6
0905225080,7,4
0905300010,5,7
0905300080,5,5
0905351150,7,5
0905402110,4,5
0905403050,5,5
0905426150,6,7
0905427140,5,5
0905451410,5,8
0905452140,6,4
0905452150,6,5
0905475150,5,7
0905480160,5,3
0906202040,6,5
0906204180,6,4
0906223180,8,5
0906380110,7,5
0906380150,7,5
0906380170,7,5
0906380180,7,5
0906382030,7,5
0906382040,7,5
0906382050,7,5
0906392090,6,5
0906392100,7,5
0906392120,8,5
0906394010,7,5
0906394040,7,5
0906394060,7,5
0906420020,8,5
0906426090,5,5
0906475050,6,5
0906475200,7,5
0906476140,6,5
0907125020,5,5
0907125080,5,6
0907130110,6,5
0907131070,7,5
0907135230,5,5
0907175030,7,5
0907175060,6,5
0907180120,7,5
0907181090,7,5
0907187010,7,5
0907192010,7,5
0907194130,7,5
0907196020,7,5
0907200170,5,5
0907201160,6,6
0907201230,6,6
0907202140,5,6
0907203010,5,7
0907203040,5,7
0907227090,5,8
0907230240,6,5
0907251100,8,5
0907252050,7,5
0907254050,6,5
0907255010,8,5
0907255050,8,5
0907262080,7,5
0907265030,7,5
0907270050,8,5
0907275030,7,5
0907285010,7,5
0907285100,7,5
0907290020,7,6
0907290080,7,5
0907290160,6,5
0907290230,6,5
0907290260,8,5
0907401050,7,5
0907401080,7,5
0907405030,6,5
0907410040,7,5
0907410100,7,5
0907410110,7,5
0907412010,7,5
0907414040,7,5
0907418020,6,5
0907420070,6,5
0907420090,7,5
0908102020,4,6
0908102320,5,4
0908102330,4,5
0908127050,5,4
0908128100,7,5
0908178050,7,5
0908188110,7,5
0908188120,7,5
0908188130,6,5
0908188140,7,5
0908188150,7,5
0908225180,4,7
0908227010,6,3
0908227030,4,5
0908227040,5,3
0908228040,5,7
0908275220,5,7
0909101050,5,7
0909101080,4,4
0909101190,4,5
0909101330,2,3
0909103020,4,7
0909131125,5,8
0909175030,6,5
0909176180,5,5
0909201180,6,6
0909250070,7,8
0909250120,5,5
0909250200,6,8
0909250210,5,5
0909253080,7,8
0909254070,7,6
0909256010,5,5
0909256020,5,4
0909275230,7,5
0909275250,6,5
0909276010,8,7
0909276070,5,6
0909279040,4,5
0909280030,7,7
0909280070,7,7
0909281010,6,8
0909282110,6,7
0909425120,6,7
0909425180,5,6
0909426060,5,7
0909428110,5,5
0909475020,6,5
0910200020,5,6
0910200060,6,7
0910203100,4,4
0910203230,4,6
0910207110,4,6
0910226060,6,5
0911175430,2,3
0911225110,3,5
0911370530,8,5
0913350030,6,6
0914474020,8,5
0914476130,6,6
0916225130,7,5
0916325040,6,5
0916326010,8,6
0916402125,6,6
0916403020,7,5
0916475100,8,5
0916477010,8,5
0921205030,8,5
0923203090,6,5
0923203100,6,5
0923205120,5,5
0923225190,5,6
0923225240,5,6
0923225260,6,4
0923225510,5,7
0923226180,4,6
0923226290,4,4
0923227100,5,5
0923228130,5,7
0923228210,4,5
0923228260,4,7
0923250060,5,5
0923251180,5,7
0923275080,6,6
0923276100,5,5
0923400125,5,5
0924100070,5,5
